"averaging","ppfd","replicate","species","instrument","Leak","LeakPct","CorrFact","CorrFactPct","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","PS2/1","S","K","Geometry","Tleaf2","Offset","Offset2","Qamb_in","f_farred","Q_modavg","Q_farred","state","period","Total","Tleaf2_mv","Tleaf2_j","Pump","AccH2O_hum","AccH2O_des","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","DIAG","oxygen","file_name","date_ymd","curve_identifier","ppfd_replicate","RSS_reported","Ci_transition","Ci_transition2","Tcorrect","Rd_measured","GammaStar","Km","kminput","gstarinput","fitmethod","citransition","gmeso","fitTPU","alphag","Vcmax","Vcmax_err","Qin_avg","alpha","theta","Rd","Rd_err","ci_star","A_transition","Jmax","Jmax_err","J","J_err","TPU","TPU_err","J_lower","J_upper","Rd_lower","Rd_upper","TPU_lower","TPU_upper","Vcmax_lower","Vcmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"none","150","wt-3","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-24 ed aci mcgrath1","2023-03-24","150 - wt-3 - mcgrath1","150 - wt-3","1.69986710682598","324.165056944902","1049.12689650419","FALSE","FALSE","38.9258264011405","727.331527843354","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","32.2907684384594","1.55218349500133","150.007823529412","0.36125","0.7","1.13686485624105","0.162716372401663","66.8906463866395","7.53591642734378","201.555621773092",NA,"49.3826743608235",NA,"3.68880360799764",NA,NA,NA,"0.81794076633379","1.45578894614831",NA,NA,"29.2484887882568","35.333048088662","FALSE","17","4","13","1.69986710682598","0.0999921827544691","0.31621540562482","0.361606150690752","19.0986345643742"
"none","150","wt-6","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","150 - wt-6 - ripe5","150 - wt-6","1.73670227089776","241.064236632533",NA,"FALSE","FALSE","38.9970978532942","727.880857454987","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","39.6180583209204","1.71532746418194","150.017588235294","0.36125","0.7","0.957004182625313","0.13843515538061","57.9823282208279","7.22327893618268","458.311814726322",NA,"52.1824220122929",NA,NA,NA,NA,NA,"0.685671278079316","1.22833708717131",NA,NA,"36.2560164911238","42.980100150717","FALSE","17","4","13","1.73670227089776","0.102158957111633","0.319623148585382","0.365503053854207","19.4630804421853"
"none","1500","wt-10","tobacco","mcgrath2","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99977","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","2","2094","1","26","18","21","data/tobacco/2023-03-21 ed aci mcgrath2","2023-03-21","1500 - wt-10 - mcgrath2","1500 - wt-10","15.5991942190545","1999.99991561528","400.000077544781","FALSE","FALSE","39.3464756816613","735.666938725147","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","101.396916217396","1.75482174137581","1499.956875","0.36125","0.7","1.89880308326117","0.222173506795352","54.1369206014008","35.2803354697693",NA,NA,NA,NA,"12.3930474829075",NA,NA,NA,"1.46334300994228","2.33426315658006",NA,NA,"97.9574656042998","104.836366830493","FALSE","16","4","12","15.5991942190545","0.974949638690905","0.987395381137113","1.14014597819221","55.0001216714608"
"none","1500","wt-7","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-23 ed aci mcgrath1","2023-03-23","1500 - wt-7 - mcgrath1","1500 - wt-7","11.8758066463777","1999.99991561528","400.000077544781","FALSE","FALSE","38.9622359542374","728.116075409952","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","110.432988685521","1.93259243781636","1499.99352941176","0.36125","0.7","1.4478616901966","0.28471803407209","49.1529886340579","37.5595579908348",NA,NA,NA,NA,"13.0024744836341",NA,NA,NA,"0.889814343415305","2.0059090369779",NA,NA,"106.645107507401","114.220869863641","FALSE","17","4","13","11.8758066463777","0.698576861551627","0.835809105927679","0.955784279104284","52.1458389674082"
"none","200","wt-1","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","200 - wt-1 - ripe5","200 - wt-1","1.59365062119654","350.301860769718",NA,"FALSE","FALSE","39.0374864585865","729.481276863443","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","45.4804631202955","1.5488273315554","199.966411764706","0.36125","0.7","1.1542498373455","0.148525173979421","59.0512414491878","11.8263984892489","24135.5584537682",NA,"72.1729261202069",NA,NA,NA,NA,NA,"0.863140496345839","1.44535917834517",NA,NA,"42.4447615504469","48.5161646901441","FALSE","17","4","13","1.59365062119654","0.0937441541880319","0.30617667152811","0.350126419058618","18.0017486151002"
"none","200","wt-10","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-21 ed aci mcgrath1","2023-03-21","200 - wt-10 - mcgrath1","200 - wt-10","1.77723104381448","330.528092038052","1279.97738777104","FALSE","FALSE","39.2870287778643","734.317654608426","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","41.8145434228885","1.56518606572762","200.0748125","0.36125","0.7","1.36103837765979","0.167257832729985","65.3169507001414","9.96223234515422","218.750823264297",NA,"64.2587698949538",NA,"4.89033353360594",NA,NA,NA,"1.03321302550902","1.68886372981056",NA,NA,"38.7467787340623","44.8823081117146","FALSE","16","4","12","1.77723104381448","0.111076940238405","0.333282073082854","0.384840989220925","20.2455184627089"
"none","200","wt-8","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-23 ed aci mcgrath1","2023-03-23","200 - wt-8 - mcgrath1","200 - wt-8","0.471031847381023","340.382110670691",NA,"FALSE","FALSE","39.0714048040135","730.17345232423","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","41.3291847175019","0.692836685883354","199.990176470588","0.36125","0.7","1.08211826909752","0.0612490018291205","59.7557220354902","10.4349201354973","229.135400732414",NA,"64.6292237806876",NA,NA,NA,NA,NA,"0.962070225512444","1.2021663126826",NA,NA,"39.9712248131706","42.6871446218333","FALSE","17","4","13","0.471031847381023","0.0277077557282955","0.166456467967741","0.19035025355725","-2.7188194224305"
"none","250","wt-1","tobacco","mcgrath2","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99977","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","2","2094","1","26","18","21","data/tobacco/2023-03-21 ed aci mcgrath2","2023-03-21","250 - wt-1 - mcgrath2","250 - wt-1","0.531393626510107","509.280300868427",NA,"FALSE","FALSE","39.3112552848123","734.828622593865","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","40.9923843423228","0.637345539846569","249.9739375","0.36125","0.7","1.61978738661478","0.0817408055516549","71.161476324847","13.7119953228202","217.983065710317",NA,"77.4836915950365",NA,NA,NA,NA,NA,"1.45957540773354","1.77999936549603",NA,NA,"39.7431870842235","42.2415816004221","FALSE","16","4","12","0.531393626510107","0.0332121016568817","0.182241876792579","0.210434793247637","0.928577674723911"
"none","250","wt-1","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-24 ed aci ripe5","2023-03-24","250 - wt-1 - ripe5","250 - wt-1","2.28065790531167","301.554260571326","1234.74780785675","FALSE","FALSE","38.9320310197149","727.235982901434","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","60.5455498858667","1.89742706790126","249.953352941176","0.36125","0.7","1.53647759518544","0.172576617261798","58.8833397521057","13.7661320966241","2534.55495646247",NA,"89.3169084420648",NA,"6.78079145739332",NA,NA,NA,"1.19822742535232","1.87472776501856",NA,NA,"56.8265928327802","64.2645069389531","FALSE","17","4","13","2.28065790531167","0.134156347371275","0.366273596333772","0.418849881801957","24.095170537165"
"none","250","wt-5","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","250 - wt-5 - ripe5","250 - wt-5","2.31823850650155","263.616293332365","1199.64391396155","FALSE","FALSE","39.0485464060967","729.706943764807","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","61.7029318306535","1.93175806180333","249.994941176471","0.36125","0.7","0.950522667129489","0.15343398726501","51.0775043543075","12.8609890122988","485.04172441312",NA,"84.9057675608352",NA,"6.42678758796647",NA,NA,NA,"0.649792052090069","1.25125328216891",NA,NA,"57.916686029519","65.489177631788","FALSE","17","4","13","2.31823850650155","0.136366970970679","0.369278987989676","0.422286678645748","24.3730130384872"
"none","250","wt-7","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-24 ed aci mcgrath1","2023-03-24","250 - wt-7 - mcgrath1","250 - wt-7","2.72166834130605","343.723289587249","1244.56739401676","FALSE","FALSE","38.9371639831609","726.703656948558","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","50.6607228729689","1.88002638226019","250.011882352941","0.36125","0.7","1.37829121195401","0.197006830502747","60.3517635843542","12.9036805341596","261.745756797043",NA,"79.8127895996804",NA,"6.06357607264722",NA,NA,NA,"0.992157824168625","1.76442459973939",NA,NA,"46.9758711637389","54.3455745821989","FALSE","17","4","13","2.72166834130605","0.160098137723885","0.400122653350051","0.457557759389335","27.1004491819102"
"none","300","wt-1","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-21 ed aci mcgrath1","2023-03-21","300 - wt-1 - mcgrath1","300 - wt-1","0.772441130220432","342.797258679874",NA,"FALSE","FALSE","39.2793671882557","734.09237315044","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","60.1169753588608","1.14538603290009","300.0696875","0.36125","0.7","1.65180548690782","0.0937633711319906","61.1311278857868","15.1242112015624","279.65121299502",NA,"94.0881856303278",NA,NA,NA,NA,NA,"1.46802927948912","1.83558169432653",NA,NA,"57.8720187343766","62.361931983345","TRUE","16","4","12","0.772441130220432","0.048277570638777","0.219721575269196","0.253712621256878","6.91342182753675"
"none","300","wt-3","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-24 ed aci ripe5","2023-03-24","300 - wt-3 - ripe5","300 - wt-3","1.21841691526647","338.482557736335","1222.43623319904","FALSE","FALSE","38.8490143821406","726.12605984272","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","67.6737490134744","1.22994024269302","300.008941176471","0.36125","0.7","1.73868969442278","0.0904738208281027","59.0228700220385","17.1194702864311","1419.54523265253",NA,"105.821050593187",NA,"8.02791723311295",NA,NA,NA,"1.5613610055997","1.91601838324587",NA,NA,"65.2630661377961","70.0844318891527","FALSE","17","4","13","1.21841691526647","0.0716715832509688","0.267715489374389","0.306144374597053","13.4376741766042"
"none","300","wt-8","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","300 - wt-8 - ripe5","300 - wt-8","0.426464550266077","325.124149464119","725.721814053389","FALSE","FALSE","39.0918003254779","730.775316665738","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","62.7220683234625","0.898323650794072","300.041294117647","0.36125","0.7","1.23894266245017","0.0660700765291563","54.6066202042796","15.5835976555034","315.14364105265",NA,"95.8284261410401",NA,"6.82073125920359",NA,NA,NA,"1.10944531245303","1.36844001244732",NA,NA,"60.9613539679062","64.4827826790189","FALSE","17","4","13","0.426464550266077","0.0250861500156516","0.158386078983134","0.181121410675499","-4.40855928586973"
