"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","gmc_at_25","gmc_tl","drawdown_cm","alpha_g","alpha_old","alpha_s","alpha_t","Gamma_star_agt","J_at_25","RL_at_25","Tp_at_25","Vcmax_at_25","J_tl","RL_tl","Tp_tl","Vcmax_tl","atp_use","nadph_use","curvature_cj","curvature_cjp","c3_assimilation_msg","c3_optional_arguments","Ca_atmospheric","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","gmc_tl_avg","J_tl_avg","RL_tl_avg","Tp_tl_avg","Vcmax_tl_avg","convergence","convergence_msg","feval","optimizer","operating_Ci","operating_Cc","operating_An","operating_An_model","optimum_val","alpha_g_lower","alpha_g_upper","alpha_old_lower","alpha_old_upper","alpha_s_lower","alpha_s_upper","alpha_t_lower","alpha_t_upper","Gamma_star_lower","Gamma_star_upper","gmc_at_25_lower","gmc_at_25_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Tp_at_25_lower","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","gmc_tl_avg_lower","gmc_tl_avg_upper","J_tl_avg_lower","J_tl_avg_upper","RL_tl_avg_lower","RL_tl_avg_upper","Tp_tl_avg_lower","Tp_tl_avg_upper","Vcmax_tl_avg_lower","Vcmax_tl_avg_upper","n_Ac_limiting","n_Aj_limiting","n_Ap_limiting","n_Ad_limiting","Vcmax_trust","J_trust","alpha_g_trust","alpha_old_trust","alpha_s_trust","alpha_t_trust","Tp_trust","remove_unreliable_param"
"420","Inf","25","1","21","1800","Curve 9","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","6","0","0","0","0","111.906954713701","1.11958950396627","14.53982116675","70.4054447393864","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","111.906954112716","1.11958883636272",NA,"70.4054427868925","112.021059457779","1.12078626886994","14.1951347479323","70.4965628134526","4","8","1","1","","",NA,"17","5","12","5.11214594976831e-12","3.0071446763343e-13","5.4837438637616e-07","6.52696072058575e-07","-429.910548150221","Inf","112.021059457779","1.12078626886994",NA,"70.4965628134526",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-220.95527407511",NA,NA,"-2.82689716202364","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"111.906954112716","111.906954112716","1.11958883636272","1.11958883636272","6.18412447681979","Inf","70.4054427868925","70.4054427868925",NA,NA,"112.021059457779","112.021059457779","1.12078626886994","1.12078626886994","6.18989269407961","Inf","70.4965628134526","70.4965628134526","11","6","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 10","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","16","0","1","0","0","0","163.027261878853","2.0313762798789","10.8382118897513","51.2314807501389","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","141.202766748808","2.03137596202831",NA,"51.2314796369632","141.346743417205","2.03354857712798","25.4637519765305","51.2977843656951","4","8","1","1","","",NA,"17","5","12","1.01309584670636e-12","5.95938733356685e-14","2.44118564094721e-07","2.9055920892685e-07","-457.426891453621","Inf","141.346743417205","2.03354857712798",NA,"51.2977843656951",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-234.71344572681",NA,NA,"-8.70455297078746","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"141.202766748808","141.202766748808","2.03137596202831","2.03137596202831","4.06562067058103","Inf","51.2314796369632","51.2314796369632",NA,NA,"141.346743417205","141.346743417205","2.03354857712798","2.03354857712798","4.06941286192709","Inf","51.2977843656951","51.2977843656951","16","1","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 11","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","8","0","0","0","0","101.356338431314","2.21461487844819","15.2580239490606","79.7350013235118","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","101.356335893957","2.21461432562148",NA,"79.7349890717766","101.459683355901","2.2169829194287","20.5430662063373","79.8381835697358","4","8","1","1","","",NA,"17","5","12","2.97483798278156e-12","1.74990469575386e-13","4.18318622075788e-07","4.97898749980151e-07","-439.11485286571","Inf","101.459683355901","2.2169829194287",NA,"79.8381835697358",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-225.557426432855",NA,NA,"-4.30081111173789","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"101.356335893957","101.356335893957","2.21461432562148","2.21461432562148","6.8607170117466","Inf","79.7349890717766","79.7349890717766",NA,NA,"101.459683355901","101.459683355901","2.2169829194287","2.2169829194287","6.86711631797503","Inf","79.8381835697358","79.8381835697358","9","8","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 12","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","10","8","0","0","0","0","42.2854799098801","0.531121064918116","13.4271181615442","32.9069252620684","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","42.2854801544606","0.531121056311875",NA,"32.9069259100854","42.3285963248756","0.531689105579104","31.4538065315739","32.9495146623785","4","8","1","1","","",NA,"17","5","12","5.90730006107614e-14","3.47488238886831e-15","5.89481330397182e-08","7.01623121832282e-08","-505.740757814785","Inf","42.3285963248756","0.531689105579104",NA,"32.9495146623785",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-258.870378907392",NA,NA,"-16.6401703398835","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"42.2854801544606","42.2854801544606","0.531121056311875","0.531121056311875","2.5992805116301","Inf","32.9069259100854","32.9069259100854",NA,NA,"42.3285963248756","42.3285963248756","0.531689105579104","0.531689105579104","2.6017049800842","Inf","32.9495146623785","32.9495146623785","10","8","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 13","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0","0","37.4773821694311","0.605821438971907","5.66645872497931","43.5067653136794","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","37.4773820981267","0.605821426959729",NA,"43.5067635580245","37.5155957163084","0.606469370424908","3.87312629448404","43.5630708162993","4","8","1","1","","",NA,"17","5","12","8.43191674064759e-15","4.95995102391035e-16","2.22709474964815e-08","2.6507729596993e-08","-538.835505435322","Inf","37.5155957163084","0.606469370424908",NA,"43.5630708162993",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-275.417752717661",NA,NA,"-1.33382706843205","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"37.4773820981267","37.4773820981267","0.605821426959729","0.605821426959729","1.19311239985598","Inf","43.5067635580245","43.5067635580245",NA,NA,"37.5155957163084","37.5155957163084","0.606469370424908","0.606469370424908","1.19422527065338","Inf","43.5630708162993","43.5630708162993","6","11","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 14","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","15","0","2","0","0","0","148.083196349582","1.48812011744361","7.19929753739387","37.6003797964659","Inf","Inf","0","0","0.750952881521647","0","0","36.9443833189131","95.8913552883549","1.48807826811205","6.73555199725107","37.60023804712","95.9891304111829","1.48966981067986","6.7418345563151","37.6489009708074","4","8","1","1","","",NA,"17","5","12","2.7162175923259e-08","1.59777505430935e-09","3.9972178503421e-05","4.757640865252e-05","-284.085203901989","Inf","95.9891304111829","1.48966981067986","6.7418345563151","37.6489009708074",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-148.042601950995",NA,NA,"0.750891846365396","0.750952881521647",NA,NA,NA,NA,NA,NA,NA,NA,"95.8905618313231","95.8914773586675","1.48807826811205","1.4881393032683","6.73549096209481","6.73555199725107","37.6001770119637","37.6003601174325",NA,NA,"95.9883361451067","95.9892526059638","1.48966981067986","1.48973091111497","6.74177346422855","6.7418345563151","37.6488398566583","37.6490231991056","15","1","1","0","2","2","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 15","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0","0","72.1892029748531","1.61456319560995","9.29844919545576","119.347744634259","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","72.189202997576","1.61456320296671",NA,NA,"72.262810343814","1.6162900248154","28.4460547382193","722.920305416644","4","8","1","1","","",NA,"17","5","12","4.54324501165004e-16","2.67249706567649e-17","5.16961997218025e-09","6.15307850568182e-09","-588.491956225222","Inf","72.262810343814","1.6162900248154",NA,NA,NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-300.245978112611",NA,NA,"-4.32245805673606","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"72.189202997576","72.189202997576","1.61456320296671","1.61456320296671","2.71076677276876","Inf","116.736884960584","Inf",NA,NA,"72.262810343814","72.262810343814","1.6162900248154","1.6162900248154","2.71329522958502","Inf","116.88796799674","Inf","0","17","0","0","0","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 16","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","10","7","0","0","0","0","152.683557547489","0.775968543954659","16.2761668467894","114.478304329328","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","152.683553165737","0.77596783856796",NA,"114.478302909376","152.839236158429","0.776797758520961","27.7985719156196","114.626462846858","4","8","1","1","","",NA,"17","5","12","4.37778084241717e-12","2.57516520142187e-13","5.07460855773316e-07","6.03999230298708e-07","-432.546862727579","Inf","152.839236158429","0.776797758520961",NA,"114.626462846858",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-222.273431363789",NA,NA,"-3.92182806098845","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"152.683553165737","152.683553165737","0.77596783856796","0.77596783856796","6.74127692882961","Inf","114.478302909376","114.478302909376",NA,NA,"152.839236158429","152.839236158429","0.776797758520961","0.776797758520961","6.74756482780057","Inf","114.626462846858","114.626462846858","10","7","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 17","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0","0","158.077984641981","2.07020790848881","17.7904358375631","23.2111742137931","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131",NA,"2.07020790837356",NA,"23.211174195346","127.335042310993","2.0724220553583","62.4440196873306","23.2412145263979","4","8","1","1","","",NA,"17","5","12","5.85582242022733e-16","3.44460142366313e-17","5.86907268967009e-09","6.98559375919907e-09","-584.177442334041","Inf",NA,"2.0724220553583",NA,"23.2412145263979",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-298.08872116702",NA,NA,"-46.6390141021416","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"67.0258497072309","Inf","2.07020790837356","2.07020790837356","2.41644647825227","Inf","23.211174195346","23.211174195346",NA,NA,"67.0941922670796","Inf","2.0724220553583","2.0724220553583","2.41870040899631","Inf","23.2412145263979","23.2412145263979","17","0","0","0","2","0","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 18","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","6","0","0","0","0","79.1580827951897","1.59432724097976","9.41849920744076","52.506970776245","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","79.158080654057","1.59432710931133",NA,"52.5069697857055","79.2387937802351","1.59603228807501","3.4611900048064","52.5749252773845","4","8","1","1","","",NA,"17","5","12","7.46378477071675e-13","4.39046162983338e-14","2.09534284302913e-07","2.49395682445867e-07","-462.620957604514","Inf","79.2387937802351","1.59603228807501",NA,"52.5749252773845",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-237.310478802257",NA,NA,"5.0229823245927","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"79.158080654057","79.158080654057","1.59432710931133","1.59432710931133","1.75387324069182","Inf","52.5069697857055","52.5069697857055",NA,NA,"79.2387937802351","79.2387937802351","1.59603228807501","1.59603228807501","1.75550915891054","Inf","52.5749252773845","52.5749252773845","11","6","0","0","2","2","0","0","0","0","0","2"
